"Sample","ExhaustionScore","Group"
"GSM764876",3.59343746848571,"Low_exhaustion"
"GSM764877",3.56230363060714,"Low_exhaustion"
"GSM764878",4.81697897567857,"High_exhaustion"
"GSM764879",3.85298758923571,"High_exhaustion"
"GSM764880",3.76323669392143,"High_exhaustion"
"GSM764881",4.52615738042857,"High_exhaustion"
"GSM764882",4.11695492119286,"High_exhaustion"
"GSM764883",4.70906226990714,"High_exhaustion"
"GSM764884",3.66746388642857,"Low_exhaustion"
"GSM764885",3.95384425440714,"High_exhaustion"
"GSM764886",4.20603774488571,"High_exhaustion"
"GSM764887",3.48745329055714,"Low_exhaustion"
"GSM764888",3.88749418732857,"High_exhaustion"
"GSM764889",3.50409614517857,"Low_exhaustion"
"GSM764890",4.36269356993571,"High_exhaustion"
"GSM764891",3.87105750572857,"High_exhaustion"
"GSM764892",4.72002042771429,"High_exhaustion"
"GSM764893",4.41804239090714,"High_exhaustion"
"GSM764894",4.30678633993571,"High_exhaustion"
"GSM764895",4.17085233697143,"High_exhaustion"
"GSM764896",4.96518922695,"High_exhaustion"
"GSM764897",4.27583420087143,"High_exhaustion"
"GSM764898",3.75755004003571,"High_exhaustion"
"GSM764899",3.94050650255714,"High_exhaustion"
"GSM764900",4.34101657785714,"High_exhaustion"
"GSM764901",3.91479959695,"High_exhaustion"
"GSM764902",4.89934626295,"High_exhaustion"
"GSM764903",3.90219107695,"High_exhaustion"
"GSM764904",4.25834169254286,"High_exhaustion"
"GSM764905",3.61177097923571,"Low_exhaustion"
"GSM764906",5.25545894173571,"High_exhaustion"
"GSM764907",3.65835209899286,"Low_exhaustion"
"GSM764908",3.99391154150714,"High_exhaustion"
"GSM764909",4.34811583838571,"High_exhaustion"
"GSM764910",3.45455677950714,"Low_exhaustion"
"GSM764911",3.85910420127857,"High_exhaustion"
"GSM764912",3.56523789843571,"Low_exhaustion"
"GSM764913",3.81718580336429,"High_exhaustion"
"GSM764914",3.91712766507143,"High_exhaustion"
"GSM764915",4.65748158245714,"High_exhaustion"
"GSM764916",3.07668285714286,"Low_exhaustion"
"GSM764917",3.287175,"Low_exhaustion"
"GSM764918",2.98575642857143,"Low_exhaustion"
"GSM764919",4.43186714285714,"High_exhaustion"
"GSM764920",2.96464142857143,"Low_exhaustion"
"GSM764921",3.15398714285714,"Low_exhaustion"
"GSM764922",3.08451071428571,"Low_exhaustion"
"GSM764923",3.12984928571429,"Low_exhaustion"
"GSM764924",3.12380928571429,"Low_exhaustion"
"GSM764925",2.97723857142857,"Low_exhaustion"
"GSM764926",2.91212214285714,"Low_exhaustion"
"GSM764927",2.87477071428571,"Low_exhaustion"
"GSM764928",2.93905,"Low_exhaustion"
"GSM764929",3.16104214285714,"Low_exhaustion"
"GSM764930",3.00727428571429,"Low_exhaustion"
"GSM764931",3.03967357142857,"Low_exhaustion"
"GSM764932",3.33616571428571,"Low_exhaustion"
"GSM764933",4.59819142857143,"High_exhaustion"
"GSM764934",3.75973642857143,"High_exhaustion"
"GSM764935",3.58788214285714,"Low_exhaustion"
"GSM764936",2.92163071428571,"Low_exhaustion"
"GSM764937",2.88336428571429,"Low_exhaustion"
"GSM764938",3.17139357142857,"Low_exhaustion"
"GSM764939",2.89231357142857,"Low_exhaustion"
"GSM764940",2.99439071428571,"Low_exhaustion"
"GSM764941",4.02845428571429,"High_exhaustion"
"GSM764942",3.11929428571429,"Low_exhaustion"
"GSM764943",3.06212571428571,"Low_exhaustion"
"GSM764944",3.08892428571429,"Low_exhaustion"
"GSM764945",2.95375714285714,"Low_exhaustion"
"GSM764946",3.177325,"Low_exhaustion"
"GSM764947",3.94196857142857,"High_exhaustion"
"GSM764948",2.90429571428571,"Low_exhaustion"
"GSM764949",2.97094,"Low_exhaustion"
"GSM764950",4.403165,"High_exhaustion"
"GSM764951",3.22695573885,"Low_exhaustion"
"GSM764952",3.22067640374286,"Low_exhaustion"
"GSM764953",3.30556681203571,"Low_exhaustion"
"GSM764954",4.40263476312857,"High_exhaustion"
"GSM764955",3.41487650415,"Low_exhaustion"
"GSM764956",3.076925534,"Low_exhaustion"
"GSM764957",4.76373939213571,"High_exhaustion"
"GSM764958",3.68320149077143,"Low_exhaustion"
"GSM764959",3.07083110026429,"Low_exhaustion"
"GSM764960",4.40985513375,"High_exhaustion"
"GSM764961",3.33599142857143,"Low_exhaustion"
"GSM764962",3.81136285714286,"High_exhaustion"
"GSM764963",4.35822714285714,"High_exhaustion"
"GSM764964",3.27955214285714,"Low_exhaustion"
"GSM764965",3.45312142857143,"Low_exhaustion"
"GSM764966",3.30643517768571,"Low_exhaustion"
"GSM764967",3.67671642857143,"Low_exhaustion"
"GSM764968",3.35107428571429,"Low_exhaustion"
"GSM764969",3.436775,"Low_exhaustion"
"GSM764970",3.36850571428571,"Low_exhaustion"
"GSM764971",2.96340857142857,"Low_exhaustion"
"GSM764972",3.86461642857143,"High_exhaustion"
"GSM764973",3.66122830986429,"Low_exhaustion"
"GSM764974",3.44813175672857,"Low_exhaustion"
"GSM764975",3.94824470648571,"High_exhaustion"
"GSM764976",3.40706514775,"Low_exhaustion"
"GSM764977",3.66402820572857,"Low_exhaustion"
